dataset,target,protocol,repeat,fold,r2
B,UTS,grouped,5,9,0.3559025226229587
B,UTS,grouped,5,10,-0.124479566742701
B,UTS,grouped,6,1,0.8173569791097514
B,UTS,grouped,6,2,0.6161958746089443
B,UTS,grouped,6,3,0.1832321752203068
B,UTS,grouped,6,4,0.7007397737206148
B,UTS,grouped,6,5,0.8538940656776136
B,UTS,grouped,6,6,0.5435739233662011
B,UTS,grouped,6,7,0.6293597783674185
B,UTS,grouped,6,8,0.8177265961320854
B,UTS,grouped,6,9,0.1967613650046131
B,UTS,grouped,6,10,0.7931508133265713
B,UTS,grouped,7,1,0.4263436970443016
B,UTS,grouped,7,2,0.8923057148780301
B,UTS,grouped,7,3,0.537778373620418
B,UTS,grouped,7,4,-0.5020215650493061
B,UTS,grouped,7,5,0.5593153642902945
B,UTS,grouped,7,6,0.1001495400899125
B,UTS,grouped,7,7,0.2695809474478414
B,UTS,grouped,7,8,0.5671723399171451
B,UTS,grouped,7,9,0.3996932064239833
B,UTS,grouped,7,10,0.8221799542842925
B,UTS,grouped,8,1,0.9829746700267654
B,UTS,grouped,8,2,0.1546999663749183
B,UTS,grouped,8,3,0.367697432318233
B,UTS,grouped,8,4,0.7814667987486611
B,UTS,grouped,8,5,0.5418570727279683
B,UTS,grouped,8,6,0.2299285362415833
B,UTS,grouped,8,7,0.1500547929960566
B,UTS,grouped,8,8,0.5178562846668594
B,UTS,grouped,8,9,0.5151427332961815
B,UTS,grouped,8,10,0.4779783804302336
B,UTS,grouped,9,1,0.5319084030819392
B,UTS,grouped,9,2,0.8883173741571253
B,UTS,grouped,9,3,0.4935288918599627
B,UTS,grouped,9,4,0.4696516214377023
B,UTS,grouped,9,5,0.7885316782067594
B,UTS,grouped,9,6,-0.4700814538178577
B,UTS,grouped,9,7,0.8549329094248838
B,UTS,grouped,9,8,0.8777290683444561
B,UTS,grouped,9,9,0.7118766113328027
B,UTS,grouped,9,10,0.1959762876768862
B,UTS,grouped,10,1,0.2038076654604209
B,UTS,grouped,10,2,0.6360866048154672
B,UTS,grouped,10,3,0.3056155954960646
B,UTS,grouped,10,4,0.8095558771212363
B,UTS,grouped,10,5,0.3145053744002057
B,UTS,grouped,10,6,0.6500627244515542
B,UTS,grouped,10,7,0.8463391985449787
B,UTS,grouped,10,8,0.5621394987590885
B,UTS,grouped,10,9,-0.1553765948410423
B,UTS,grouped,10,10,0.8868116527715968
B,conductivity,grouped,1,1,0.5920792450422989
B,conductivity,grouped,1,2,0.7499524309496113
B,conductivity,grouped,1,3,0.4287432825783531
B,conductivity,grouped,1,4,0.9373955992543588
B,conductivity,grouped,1,5,0.6356601316713283
B,conductivity,grouped,1,6,-0.6107247067026251
B,conductivity,grouped,1,7,0.7967134700738118
B,conductivity,grouped,1,8,0.2217217438537758
B,conductivity,grouped,1,9,0.3954172868981731
B,conductivity,grouped,1,10,0.2280146718820165
B,conductivity,grouped,2,1,0.3914821924402707
B,conductivity,grouped,2,2,0.9164678447049406
B,conductivity,grouped,2,3,0.3584773458550164
B,conductivity,grouped,2,4,0.8223279161190782
B,conductivity,grouped,2,5,0.4051682106768559
B,conductivity,grouped,2,6,0.1958076879874553
B,conductivity,grouped,2,7,0.1491334585513295
B,conductivity,grouped,2,8,0.8540289456310854
B,conductivity,grouped,2,9,-1.3396954387306854
B,conductivity,grouped,2,10,0.6955940011413384
B,conductivity,grouped,3,1,0.4536239990904843
B,conductivity,grouped,3,2,0.5942464079484566
B,conductivity,grouped,3,3,0.8047178122970751
B,conductivity,grouped,3,4,0.8441427988448814
B,conductivity,grouped,3,5,0.3232602134981331
B,conductivity,grouped,3,6,0.6682231976914982
B,conductivity,grouped,3,7,0.5409425283654213
B,conductivity,grouped,3,8,-3.529855735928856
B,conductivity,grouped,3,9,0.3848999794973302
B,conductivity,grouped,3,10,0.4637015427734675
B,conductivity,grouped,4,1,0.806306047868381
B,conductivity,grouped,4,2,-0.2175616898573906
B,conductivity,grouped,4,3,0.5516659527891197
B,conductivity,grouped,4,4,0.7870313273057724
B,conductivity,grouped,4,5,0.345699002654339
B,conductivity,grouped,4,6,0.550122866165628
B,conductivity,grouped,4,7,0.5558602135431612
B,conductivity,grouped,4,8,0.8314408636908126
B,conductivity,grouped,4,9,0.4258616906764872
B,conductivity,grouped,4,10,-0.1471531062508273
B,conductivity,grouped,5,1,0.8454533615247083
B,conductivity,grouped,5,2,0.5527121708339344
B,conductivity,grouped,5,3,-1.0183490185797357
B,conductivity,grouped,5,4,0.6098622140703318
B,conductivity,grouped,5,5,0.6440657806205958
B,conductivity,grouped,5,6,0.2285795315279779
B,conductivity,grouped,5,7,0.9351682979163416
B,conductivity,grouped,5,8,0.1810024292870368
B,conductivity,grouped,5,9,0.9136032732312483
B,conductivity,grouped,5,10,0.113301096327695
B,conductivity,grouped,6,1,0.6177387985721574
B,conductivity,grouped,6,2,0.7099976605773366
B,conductivity,grouped,6,3,0.3863967544034035
B,conductivity,grouped,6,4,0.32211761416692
B,conductivity,grouped,6,5,-0.3503899408047402
B,conductivity,grouped,6,6,0.957692935176168
B,conductivity,grouped,6,7,-0.7006184937321493
B,conductivity,grouped,6,8,0.1896447051339861
B,conductivity,grouped,6,9,0.9554570538676068
B,conductivity,grouped,6,10,0.8098739624720007
B,conductivity,grouped,7,1,0.8031446667037563
B,conductivity,grouped,7,2,0.4997999155903817
B,conductivity,grouped,7,3,0.1605865013942198
B,conductivity,grouped,7,4,0.3481181785283906
B,conductivity,grouped,7,5,0.4342967881064531
B,conductivity,grouped,7,6,0.4455309583458967
B,conductivity,grouped,7,7,0.4485634061157423
B,conductivity,grouped,7,8,0.7130949856818989
B,conductivity,grouped,7,9,0.7896284012138745
B,conductivity,grouped,7,10,0.1447406109646404
B,conductivity,grouped,8,1,0.4022472813862495
B,conductivity,grouped,8,2,0.6566827750206095
B,conductivity,grouped,8,3,0.7283064712380929
B,conductivity,grouped,8,4,0.3548875017042118
B,conductivity,grouped,8,5,0.1862730375389646
B,conductivity,grouped,8,6,0.8433503820039059
B,conductivity,grouped,8,7,0.8633041338733852
B,conductivity,grouped,8,8,0.7884780018352109
B,conductivity,grouped,8,9,0.7978378202272911
B,conductivity,grouped,8,10,-1.993268659811854
B,conductivity,grouped,9,1,0.7282763844216978
B,conductivity,grouped,9,2,0.6444285373638755
B,conductivity,grouped,9,3,0.5498144559638927
B,conductivity,grouped,9,4,-1.305365345353751
B,conductivity,grouped,9,5,-0.026016554112396
B,conductivity,grouped,9,6,0.7882994286897115
B,conductivity,grouped,9,7,0.7977730817708066
B,conductivity,grouped,9,8,0.8675086029674399
B,conductivity,grouped,9,9,0.8679821783076699
B,conductivity,grouped,9,10,0.8735561929368579
B,conductivity,grouped,10,1,0.8630502189575967
B,conductivity,grouped,10,2,0.6181252948969909
B,conductivity,grouped,10,3,0.8390723675653158
B,conductivity,grouped,10,4,-0.6556901265193291
B,conductivity,grouped,10,5,0.3285963242286247
B,conductivity,grouped,10,6,0.0754326060634567
B,conductivity,grouped,10,7,0.409366535257804
B,conductivity,grouped,10,8,0.6471287863906492
B,conductivity,grouped,10,9,0.5638084280709288
B,conductivity,grouped,10,10,0.7141181208486043
