Ni,Si,Ce,La,cold_rolling_strain,annealing_T,annealing_t,solution_T,solution_t,aging_T,aging_t,UTS,conductivity,hardness,is_cold_rolled,is_annealed,is_solution,is_aged,log_Ni,log_Si,log_Ce,log_La,precipitation_index
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,6.0,744.0,25.93,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,6.0,734.0,26.78,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,6.0,715.0,27.75,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,6.0,715.0,24.7,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,6.0,745.0,25.35,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,6.0,744.0,25.36,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
1.37,0.28,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,485,6.0,356.0,60.8,,0,0,0,1,0.3148107405699607,-1.272965672241459,-20.72326583694641,-20.72326583694641,1
1.37,0.28,0.0,0.0,-1.0,-1,-1.0,930,-1.0,485,6.0,537.0,52.2,,0,0,1,1,0.3148107405699607,-1.272965672241459,-20.72326583694641,-20.72326583694641,2
1.37,0.28,0.0,0.0,-1.0,-1,-1.0,760,0.5,485,6.0,530.0,51.5,,0,0,1,1,0.3148107405699607,-1.272965672241459,-20.72326583694641,-20.72326583694641,2
1.37,0.28,0.0,0.0,30.6,-1,-1.0,930,-1.0,485,6.0,579.0,52.2,,1,0,1,1,0.3148107405699607,-1.272965672241459,-20.72326583694641,-20.72326583694641,3
1.37,0.28,0.0,0.0,30.6,-1,-1.0,930,-1.0,485,6.0,540.0,53.1,,1,0,1,1,0.3148107405699607,-1.272965672241459,-20.72326583694641,-20.72326583694641,3
1.2,0.4,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,450,8.0,,,149.0,0,0,0,1,0.182321557627288,-0.9162907293741549,-20.72326583694641,-20.72326583694641,1
1.6,0.4,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,450,12.0,,,172.0,0,0,0,1,0.4700036298707357,-0.9162907293741549,-20.72326583694641,-20.72326583694641,1
2.0,0.4,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,450,12.0,,,183.0,0,0,0,1,0.6931471810599453,-0.9162907293741549,-20.72326583694641,-20.72326583694641,1
2.4,0.4,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,450,12.0,,,186.0,0,0,0,1,0.8754687377705666,-0.9162907293741549,-20.72326583694641,-20.72326583694641,1
2.8,0.4,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,450,12.0,,,183.0,0,0,0,1,1.029619417538301,-0.9162907293741549,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,,,82.0,0,0,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,0
3.0,0.6,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,450,12.0,,,217.0,0,0,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,50.0,-1,-1.0,-1,-1.0,-1,-1.0,468.0,22.68,169.0,1,0,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,50.0,-1,-1.0,-1,-1.0,450,2.0,,35.3,243.0,1,0,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,2
3.0,0.6,0.0,0.0,70.0,-1,-1.0,-1,-1.0,-1,-1.0,614.0,23.39,205.0,1,0,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,70.0,-1,-1.0,-1,-1.0,450,2.0,696.0,40.54,252.0,1,0,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,2
3.0,0.6,0.0,0.0,90.0,-1,-1.0,-1,-1.0,-1,-1.0,643.0,22.37,209.0,1,0,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,90.0,-1,-1.0,-1,-1.0,450,2.0,519.0,49.4,198.0,1,0,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,2
3.0,0.6,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,304.0,23.55,,0,0,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,0
3.0,0.6,0.0,0.0,70.0,-1,-1.0,950,1.0,450,2.0,,40.3,,1,0,1,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,3
3.0,0.6,0.0,0.0,70.0,-1,-1.0,950,1.0,450,2.0,561.0,36.6,,1,0,1,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,3
3.0,0.6,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,281.0,17.52,73.0,0,0,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,0
3.0,0.6,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,450,12.0,477.0,25.73,213.0,0,0,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,50.0,-1,-1.0,-1,-1.0,-1,-1.0,502.0,16.62,178.0,1,0,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,50.0,-1,-1.0,-1,-1.0,450,2.0,,23.23,257.0,1,0,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,2
3.0,0.6,0.0,0.0,70.0,-1,-1.0,-1,-1.0,-1,-1.0,588.0,16.53,201.0,1,0,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,70.0,-1,-1.0,-1,-1.0,450,2.0,737.0,24.33,250.0,1,0,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,2
3.0,0.6,0.0,0.0,90.0,-1,-1.0,-1,-1.0,-1,-1.0,632.0,16.79,222.0,1,0,0,0,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,1
3.0,0.6,0.0,0.0,90.0,-1,-1.0,-1,-1.0,450,2.0,599.0,28.66,232.0,1,0,0,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,2
